FILE FORMAT DESCRIPTION;;;;;;;;;;;;;;;
FORMAT NAME;CURRENT VERSION RELEASE DATE;SOFTWARE COUNT;SOFTWARE;CURRENT FORMAT VERSION;FORMAT LICENSE;LIMITATIONS;PUID;FORMAT HOMEPAGE;MIME TYPE;FORMAT GENRE;FORMAT CREATOR;OPEN FORMAT;FILE EXTENSIONS;VENDORS;STANDARDS
Portable Document Format, ;2007-07-10, ;2;Pdq Lite, Adobe Acrobat, ;;;;;;/media_type/application/pdf, ;Graphics File Formats, ;Patton & Patton, ;;pdf;;
DOC, ;1983;6;Framebuilder, Wordstar, Framemaker, Wordperfect, Word, Microsoft Word, ;;;;;;/media_type/application/msword, ;Word processor, ;Microsoft, ;;doc;;
Tagged Image File Format, ;;0;;;;;;;/media_type/image/tiff-fx, /media_type/image/tiff, ;Graphics File Formats, Image file formats, ;;;tiff;;
;;0;;;;;;;;;;;jp2;;
;;0;;;;;;;;;;;txt;;
;;0;;;;;;;;;;;xml;;
HTML, XHTML, ;1993, 2000-01-26, ;13;Microsoft Word, Internet Explorer, Safari, Camino, Opera, Mozilla Firefox, Konqueror, Epiphany, Amaya, Google Chrome, Lynx, OmniWeb, Shiira, ;;;;;;/media_type/text/html, /media_type/application/xhtml$002Bxml, ;Markup language, ;Tim Berners-Lee, ;;html;;
JPEG, ;;0;;;;;;;/media_type/image/jpeg, ;Graphics File Formats, Image file formats, ;Joint Photographic Experts Group, ;;jpg;;
;;0;;;;;;;;;;;psd;;
PNG, ;;1;Corel Paint Shop Pro, ;;;;;;/media_type/image/png, ;Graphics File Formats, Lossless data compression, Raster graphics, ;;;png;;
;;0;;;;;;;;;;;bmp;;
GIF, ;;1;Compuserve, ;;;;;;/media_type/image/gif, ;Graphics File Formats, Raster graphics, ;CompuServe, ;;gif;;
;;0;;;;;;;;;;;mp1;;
;;0;;;;;;;;;;;mp2;;
MP3, ;1993-08, ;4;iTunes, Winamp, Windows Media Player, Banshee, ;;;;;;/media_type/audio/mpeg, /media_type/audio/MPA, /media_type/audio/mpa-robust, ;Audio file format, ;Fraunhofer Society, ;;mp3;;
;;0;;;;;;;;;;;mp4;;
;;0;;;;;;;;;;;m4v;;
;;0;;;;;;;;;;;m4a;;
;;0;;;;;;;;;;;mpg;;
;;0;;;;;;;;;;;mpeg;;
;;0;;;;;;;;;;;mpeg1;;
;;0;;;;;;;;;;;mpeg2;;
;;0;;;;;;;;;;;mpeg3;;
;;0;;;;;;;;;;;mpeg4;;
Adobe Flash, FLV, ;;1;Flash, ;;;;;;/media_type/application/x-shockwave-flash, /media_type/video/x_flv, ;Graphics File Formats, Container format, ;;;flv;;
;;0;;;;;;;;;;;ply;;
;;0;;;;;;;;;;;dae;;
;;;;;;;;;;;;;;;
SOFTWARE DESCRIPTION;;;;;;;;;;;;;;;
SOFTWARE NAME;SOFTWARE LICENSE;SOFTWARE HOMEPAGE;GENRE;OPERATING SYSTEM;PROTOCOLS;PROGRAMMING LANGUAGE;SOFTWARE LATEST VERSION;SOFTWARE RELEASE DATE;;;;;;;
Pdq Lite;;;;;;;;;;;;;;;
Adobe Acrobat;Software license agreement, ;;Portable Document Format, ;;;;;2008-02-05, ;;;;;;;
Framebuilder;;;;;;;;;;;;;;;
Wordstar;;;;;;;;;;;;;;;
Framemaker;Proprietary software, ;;;;;;;2009-01-19, ;;;;;;;
Wordperfect;;;Word processor, ;;;;;;;;;;;;
Word;;;;;;;;;;;;;;;
Microsoft Word;;;Word processor, ;;;;;2010-07-15, ;;;;;;;
Microsoft Word;;;Word processor, ;;;;;2010-07-15, ;;;;;;;
Internet Explorer;Proprietary, Software license agreement, ;;Web browser, Aggregator, ;;;;8.0, ;2009-03-19, ;;;;;;;
Safari;Proprietary, GNU Lesser General Public License, Software license agreement, Freeware, ;;Web browser, Aggregator, ;;Hypertext Transfer Protocol, Secure Hypertext Transfer Protocol, ;Objective-C, ;3.1.1, ;2008-04-16, ;;;;;;;
Camino;GNU Lesser General Public License, GNU General Public License, Mozilla Public License, ;;Web browser, Aggregator, ;;;Cocoa, Objective-C, ;;;;;;;;;
Opera;Freeware, ;;Web browser, Aggregator, ;;;C++, ;10.61, ;2010-08-12, ;;;;;;;
