FILE FORMAT DESCRIPTION
FORMAT NAME;CURRENT VERSION RELEASE DATE;SOFTWARE COUNT;SOFTWARE;CURRENT FORMAT VERSION;FORMAT LICENSE;LIMITATIONS;PUID;FORMAT HOMEPAGE;MIME TYPE;FORMAT GENRE;FORMAT CREATOR;OPEN FORMAT;FILE EXTENSIONS;VENDORS;STANDARDS
Portable Document Format, Forms Data Format, XML Forms Data Format, ;null, ;4;Xpdf, KPDF, Jfig, Sumatra PDF, ;2, ;;;;;application/x-gzpdf, application/vnd.fdf, application/vnd.adobe.xfdf, ;;;;pdf;<http://dbpedia.org/resource/Adobe_Systems>, ;ISO 32000-1:2008, 000-1:2008, ;
;;56;Kazaa, Emacs, Plone (software), TWiki, Mozilla Composer, WiX, Main//Pyrus DMS, JDOM, Natural Docs, Gobby, NDoc, XWiki, Transmit (FTP client), Celtx, Bluetooth File Exchange, TCPDF, Jfig, ACE (editor), Consultant Plus, SiSU, Haml, Dia (software), Smarty, IBM Lotus Word Pro, Poppler (software), Gambit (Scheme implementation), Papers (software), Haddock (software), Foxit Reader, Microsoft Office Live, Stardock Central, AUCTEX, TeXnicCenter, Microsoft Windows SDK, KnowledgeTree, WinEdt, Okular, Time Matters, ERequirements, Gimmie, PhpDocumentor, ZCubes, OpenKM, Open Notebook Project, Étoilé, GNU Aspell, Adobe FrameMaker, Creative Writer, GNU TeXmacs, Google Docs, ScrollKeeper, Montage (software), Object Desktop, ObjectDock, SubEthaEdit, DownloadStudio, ;;;;;;;;;;doc;;;
TIFF/IT, Tagged Image File Format, Tag Image File Format / Electronic Photography, ;null, ;0;;TIFF/IT, TIFF 6.0, ISO 12234-2:2001, ;;;;;not defined, image/tiff, image/tiff-fx, null, ;;;;tiff;Aldus, now Adobe Systems, ANSI, ISO, <http://dbpedia.org/resource/International_Organization_for_Standardization>, ;ISO 12639, <http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=29377>, ;
JPEG 2000, ;null, ;0;;null, ;;;;;p2, image/jpx, image/jpm, video/mj2, ;;;;jp2;<http://dbpedia.org/resource/Joint_Photographic_Experts_Group>, ;ISO/IEC 15444, ;
;;1;TxtSQL, ;;;;;;;;;;txt;;;
;;1;Apache Continuum, ;;;;;;;;;;xml;;;
;;5;TCP Wrapper, NAnt, DGen, Chord (software), Haddock (software), ;;;;;;;;;;html;;;
JPEG, ;null, ;0;;null, ;;;;;image/jpeg, ;;;;jpg;<http://dbpedia.org/resource/Joint_Photographic_Experts_Group>, ;ISO/IEC 10918, ITU-T T.81, ITU-T T.83, ITU-T T.84, ITU-T T.86, ;
;;1;Gpsd, ;;;;;;;;;;psd;;;
Animated Portable Network Graphics, Portable Network Graphics, ;2008-08-04, 1996-10-01, ;1;Libpng, ;null, ;;;;;null, image/png, ;;;;png;null, PNG Development Group, ;null, ISO/IEC 15948, IETF RFC 2083, ;
Windows Bitmap, ;null, ;1;Xine, ;null, ;;;;;image/x-bmp, ;;;;bmp;null, ;null, ;
Graphics Interchange Format, ;null, ;0;;null, ;;;;;image/gif, ;;;;gif;<http://dbpedia.org/resource/CompuServe>, ;null, ;
;;0;;;;;;;;;;;mp1;;;
;;0;;;;;;;;;;;mp2;;;
;;2;Video Disk Recorder, Sound Juicer, ;;;;;;;;;;mp3;;;
;;0;;;;;;;;;;;mp4;;;
;;0;;;;;;;;;;;m4v;;;
;;0;;;;;;;;;;;m4a;;;
;;1;Mpg123, ;;;;;;;;;;mpg;;;
;;2;Xine, FFmpeg, ;;;;;;;;;;mpeg;;;
;;0;;;;;;;;;;;mpeg1;;;
;;1;Xine, ;;;;;;;;;;mpeg2;;;
;;0;;;;;;;;;;;mpeg3;;;
;;0;;;;;;;;;;;mpeg4;;;
;;0;;;;;;;;;;;flv;;;
;;22;Mixmaster anonymous remailer, ShapeShifter, Apple Software Restore, Cheese (software), CPLEX, KCalc, Bouncy Castle (cryptography), FMOD, Revit, Enlightenment (window manager), IUP (software), Multi Router Traffic Grapher, Gnome BitTorrent, FlexiMusic Wave Editor, Growler Guncam, PostgreSQL, Windows Movie Maker, Netscape 6, Corel Presentations, Digital Molecular Matter, Sumatra PDF, Perl Shell, ;;;;;;;;;;ply;;;
;;11;Squid (software), CDemu, Gpsd, Berkeley Automounter, Xinetd, GNOME Keyring, DiskImageMounter, Darwin Calendar Server, GNU Zebra, UnrealIRCd, Point-to-Point Protocol daemon, ;;;;;;;;;;dae;;;

SOFTWARE DESCRIPTION
SOFTWARE NAME;SOFTWARE LICENSE;SOFTWARE HOMEPAGE;GENRE;OPERATING SYSTEM;PROTOCOLS;PROGRAMMING LANGUAGE;SOFTWARE LATEST VERSION;SOFTWARE RELEASE DATE
Xpdf;GNU GPL or proprietary, ;null, ;;null, ;;null, ;;;
KPDF;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://kpdf.kde.org/>, ;;null, ;;null, ;;;
Jfig;shareware, ;<http://tams-www.informatik.uni-hamburg.de/applets/jfig/>, ;;null, ;;null, ;;;
Sumatra PDF;;;;;;;;;
Kazaa;<http://dbpedia.org/resource/Proprietary_software>, ;<http://www.kazaa.com/>, ;;null, ;;null, ;;;
Emacs;GNU GPLv3, ;<http://www.gnu.org/software/emacs>, ;;null, ;;<http://dbpedia.org/resource/C_%28programming_language%29>, <http://dbpedia.org/resource/Emacs_Lisp>, ;;;
Plone (software);<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://plone.org/>, ;;<http://dbpedia.org/resource/Zope>, ;;null, ;;;
TWiki;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://www.twiki.net/>, <http://twiki.org/>, ;;null, ;;<http://dbpedia.org/resource/Perl>, ;;;
Mozilla Composer;<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, <http://dbpedia.org/resource/GNU_General_Public_License>, <http://dbpedia.org/resource/Mozilla_Public_License>, ;<http://www.mozilla.org/editor>, ;;null, ;;null, ;;;
WiX;<http://dbpedia.org/resource/Common_Public_License>, ;<http://wix.codeplex.com/>, ;;null, ;;<http://dbpedia.org/resource/C_Sharp_%28programming_language%29>, <http://dbpedia.org/resource/C%2B%2B>, ;;;
Main//Pyrus DMS;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://www.mainpyrus.org>, ;;null, ;;null, ;;;
JDOM;Similar to Apache License, ;<http://jdom.org>, ;;null, ;;<http://dbpedia.org/resource/Java_%28programming_language%29>, ;;;
Natural Docs;<http://dbpedia.org/resource/Affero_General_Public_License>, ;<http://www.naturaldocs.org>, ;;null, ;;null, ;;;
Gobby;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://gobby.0x539.de>, ;;null, ;;<http://dbpedia.org/resource/C_%28programming_language%29>, <http://dbpedia.org/resource/C%2B%2B>, ;;;
NDoc;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://ndoc.sourceforge.net>, ;;null, ;;null, ;;;
XWiki;<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, ;<http://www.xwiki.org>, ;;null, ;;<http://dbpedia.org/resource/Java_%28programming_language%29>, ;;;
Transmit (FTP client);<http://dbpedia.org/resource/Proprietary_software>, ;<http://www.panic.com/transmit/>, ;;null, ;;null, ;;;
Celtx;CePL, ;<http://www.celtx.com/>, ;;<http://dbpedia.org/resource/Mozilla>, ;;null, ;;;
Bluetooth File Exchange;<http://dbpedia.org/resource/Proprietary_software>, ;<http://www.apple.com/macosx>, ;;null, ;;null, ;;;
TCPDF;<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, ;<http://www.tcpdf.org/>, ;;null, ;;<http://dbpedia.org/resource/PHP>, ;;;
Jfig;shareware, ;<http://tams-www.informatik.uni-hamburg.de/applets/jfig/>, ;;null, ;;null, ;;;
ACE (editor);<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://sourceforge.net/projects/ace>, ;;<ogramming_language%29>, ;;null, ;;;
Consultant Plus;Proprietary, ;<http://www.consultant.ru>, ;;null, ;;null, ;;;
SiSU;<http://dbpedia.org/resource/GNU_General_Public_License%23Version_3>, ;<http://www.jus.uio.no/sisu>, ;;null, ;;null, ;;;
Haml;<http://dbpedia.org/resource/MIT_License>, ;<http://haml-lang.com/>, ;;null, ;;null, ;;;
Dia (software);<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://live.gnome.org/Dia/>, ;;null, ;;<http://dbpedia.org/resource/C_%28programming_language%29>, ;;;
Smarty;<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, ;<http://www.smarty.net/>, ;;null, ;;<http://dbpedia.org/resource/PHP>, ;;;
IBM Lotus Word Pro;<http://dbpedia.org/resource/Proprietary_software>, ;<http://www.ibm.com/software/lotus/products/smartsuite/wordpro.html>, ;;null, ;;null, ;;;
Poppler (software);<http://dbpedia.org/resource/GNU_General_Public_License%23Version_2>, ;<http://poppler.freedesktop.org/>, ;;null, ;;<http://dbpedia.org/resource/C%2B%2B>, ;;;
Gambit (Scheme implementation);<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, <http://dbpedia.org/resource/Apache_License>, ;<http://gambit.iro.umontreal.ca>, ;;null, ;;null, ;;;
Papers (software);<http://dbpedia.org/resource/Proprietary_software>, ;<http://mekentosj.com/papers/>, ;;null, ;;null, ;;;
