FILE FORMAT DESCRIPTION
FORMAT NAME;CURRENT VERSION RELEASE DATE;SOFTWARE COUNT;SOFTWARE;CURRENT FORMAT VERSION;FORMAT LICENSE;LIMITATIONS;PUID;FORMAT HOMEPAGE;MIME TYPE;FORMAT GENRE;FORMAT CREATOR;OPEN FORMAT;FILE EXTENSIONS;VENDORS;STANDARDS
Acrobat PDF 1.0 - Portable Document Format, Acrobat PDF 1.1 - Portable Document Format, Acrobat PDF 1.2 - Portable Document Format, Acrobat PDF 1.3 - Portable Document Format, Acrobat PDF 1.4 - Portable Document Format, Acrobat PDF 1.5 - Portable Document Format, Acrobat PDF 1.6 - Portable Document Format, Acrobat PDF/A - Portable Document Format, Acrobat PDF 1.7 - Portable Document Format, Acrobat PDF/A - Portable Document Format, ;;0;;1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1a, 1.7, 1b, ;;;fmt/14, fmt/15, fmt/16, fmt/17, fmt/18, fmt/19, fmt/20, fmt/95, fmt/276, fmt/354, ;;;;;;pdf;Microsoft Corporation, Audata, ;;
Microsoft Word for Windows Document, Microsoft Word for Windows Document, Microsoft Word for Windows Document, Microsoft Word for Windows Document, Microsoft Word for  Macintosh Document, Wordperfect Secondary File, Wordperfect Secondary File, WordPerfect for MS-DOS/Windows Document, Microsoft Word for Macintosh Document, Microsoft Word for MS-DOS Document, Microsoft Word for MS-DOS Document, Microsoft Word for MS-DOS Document, Microsoft Word for MS-DOS Document, ;;5;Wordperfect Secondary File, WordPerfect for MS-DOS/Windows Document, Wordperfect Secondary File, WordPerfect for MS-DOS/Windows Document, Microsoft Word for Windows Document, ;1.0, 2.0, 6.0/95, 97-2003, 6.0, 5.0, 5.1/5.2, 6.0, X, 3.0, 4.0, 5.0, 5.5, ;;;fmt/37, fmt/38, fmt/39, fmt/40, fmt/null, fmt/null, fmt/null, fmt/null, fmt/null, fmt/null, fmt/null, fmt/null, fmt/null, ;;;;;;doc;;;
Digital Negative Format (DNG), ;;0;;1.1, ;;;fmt/152, ;;;;;;tiff;;;
;;0;;;;;;;;;;;jp2;;;
;;1;Plain Text File, ;;;;;;;;;;txt;;;
Extensible Markup Language, DROID File Collection File Format, DROID Signature File Format, ;;0;;1.0, 1.0, 1.0, ;;;fmt/101, fmt/120, fmt/121, ;;;;;;xml;;;
Hypertext Markup Language, Hypertext Markup Language, Hypertext Markup Language, Hypertext Markup Language, Extensible Hypertext Markup Language, Extensible Hypertext Markup Language, ;;1;Hypertext Markup Language, ;2.0, 3.2, 4.0, 4.01, 1.0, 1.1, ;;;fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, ;;;;;;html;;;
JPEG File Interchange Format, JPEG File Interchange Format, JPEG File Interchange Format, Still Picture Interchange File Format, Exchangeable Image File Format (Compressed), Exchangeable Image File Format (Compressed), Exchangeable Image File Format (Compressed), ;;0;;1.00, 1.01, 1.02, 1.0, 2.1, 2.2, 2.0, ;;;fmt/42, fmt/43, fmt/44, fmt/112, fmt/null, fmt/null, fmt/null, ;;;;;;jpg;;;
;;0;;;;;;;;;;;psd;;;
Portable Network Graphics, Portable Network Graphics, Portable Network Graphics, ;;0;;1.0, 1.1, 1.2, ;;;fmt/11, fmt/12, fmt/13, ;;;;;;png;;;
Windows Bitmap, Windows Bitmap, Windows Bitmap, Windows Bitmap, Windows Bitmap, Windows Bitmap, OS/2 Bitmap, ;;0;;1.0, 2.0, 3.0, 3.0 NT, 4.0, 5.0, 2.0, ;;;fmt/114, fmt/115, fmt/116, fmt/117, fmt/118, fmt/119, fmt/null, ;;;;;;bmp;;;
Graphics Interchange Format, Graphics Interchange Format, ;;0;;1987a, 1989a, ;;;fmt/3, fmt/4, ;;;;;;gif;;;
;;0;;;;;;;;;;;mp1;;;
;;0;;;;;;;;;;;mp2;;;
;;0;;;;;;;;;;;mp3;;;
;;0;;;;;;;;;;;mp4;;;
;;0;;;;;;;;;;;m4v;;;
;;0;;;;;;;;;;;m4a;;;
;;0;;;;;;;;;;;mpg;;;
;;0;;;;;;;;;;;mpeg;;;
;;0;;;;;;;;;;;mpeg1;;;
;;0;;;;;;;;;;;mpeg2;;;
;;0;;;;;;;;;;;mpeg3;;;
;;0;;;;;;;;;;;mpeg4;;;
Macromedia FLV, ;;0;;1, ;;;fmt/null, ;;;;;;flv;;;
;;0;;;;;;;;;;;ply;;;
;;0;;;;;;;;;;;dae;;;

SOFTWARE DESCRIPTION
SOFTWARE NAME;SOFTWARE LICENSE;SOFTWARE HOMEPAGE;GENRE;OPERATING SYSTEM;PROTOCOLS;PROGRAMMING LANGUAGE;SOFTWARE LATEST VERSION;SOFTWARE RELEASE DATE
Word;;;;;;;97 (8.0) for Windows;01 Jan 1997;
Word;;;;;;;2000 (9.0) for Windows;10 Jun 1999;
Word;;;;;;;2002/XP (10.0) for Windows;31 May 2001;
Online Description Tool;;;;;;;1.0;01 Jan 2000;

VENDOR DESCRIPTION
ORGANISATION NAME;NUMBER OF EMPLOYEES;BUSINESS STATUS;CURRENT Ffma;STOCK ISSUES;RANKED LIST;COUNTRY;FOUNDATION DATE;HOMEPAGE
Microsoft Corporation;;;;;;;;;
Audata;;;;;;;;;
